reading	word	google_pos	microsoft_pos	atok_pos	origin	source_url	note	added_on
ぜあこるねりあ	ZEACornelia	人名	人名	人名	upstream			
ぜあ	ZEACornelia	人名	人名	人名	upstream			
じーるぎんじょうか	ZealGinjoka	人名	人名	人名	upstream			
じーる	ZealGinjoka	人名	人名	人名	upstream			
じざい	ZIZAI	名詞	名詞	名詞	upstream			
ちきゅうちゃん	ЗемляЧан（地球ちゃん）	人名	人名	人名	upstream			
ちきゅう	ЗемляЧан（地球ちゃん）	人名	人名	人名	upstream			
おゔしゃんか	ОвсянкаAI	人名	人名	人名	upstream			
あぷち	ア・プチ	人名	人名	人名	upstream			
あーにゃめるふぃっさ	アーニャ・メルフィッサ	人名	人名	人名	upstream			
あーにゃ	アーニャ・メルフィッサ	人名	人名	人名	upstream			
あいぜるねゆんぐふうら	アイゼルネ・ユングフウラ	人名	人名	人名	upstream			
ゆんぐふうら	アイゼルネ・ユングフウラ	人名	人名	人名	upstream			
あいであふぁくとりー	アイディアファクトリー	人名	人名	人名	upstream			
あいらこーるまん	アイラ・コールマン	人名	人名	人名	upstream			
こーるまん	アイラ・コールマン	人名	人名	人名	upstream			
あいら	アイラ・コールマン	人名	人名	人名	upstream			
あいらにいおふぃふてぃーん	アイラニ・イオフィフティーン	人名	人名	人名	upstream			
あいらに	アイラニ・イオフィフティーン	人名	人名	人名	upstream			
あいりするせん	アイリス・ルセン	人名	人名	人名	upstream			
あいりす	アイリス・ルセン	人名	人名	人名	upstream			
うろこ	あおいうろこ	人名	人名	人名	upstream			
あおいゆうや	ぁぉぃゅぅゃ	人名	人名	人名	upstream			
ゆうや	ぁぉぃゅぅゃ	人名	人名	人名	upstream			
あおはるとなり	アオハルトナリ	人名	人名	人名	upstream			
となり	アオハルトナリ	人名	人名	人名	upstream			
あかつきかなめ	アカツキカナメ	人名	人名	人名	upstream			
かなめ	アカツキカナメ	人名	人名	人名	upstream			
あきろーぜんたーる	アキ・ローゼンタール	人名	人名	人名	upstream			
あきろぜ	アキ・ローゼンタール	人名	人名	人名	upstream			
あき	アキ・ローゼンタール	人名	人名	人名	upstream			
あきうはな	あきうはな	人名	人名	人名	upstream			
はな	あきうはな	人名	人名	人名	upstream			
あきたこまち	アキタコマチ	人名	人名	人名	upstream			
こまち	アキタコマチ	人名	人名	人名	upstream			
あくしあくろーね	アクシア・クローネ	人名	人名	人名	upstream			
